名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
十河ののは	十河	ののは	とがわののは	とがわ	ののは	NijiJP		
轟京子	轟	京子	とどろききょうこ	とどろき	きょうこ	NijiJP		
名伽尾アズマ	名伽尾	アズマ	なかおあずま	なかお	あずま	NijiJP		
長尾景	長尾	景	ながおけい	ながお	けい	NijiJP		
渚トラウト	渚	トラウト	なぎさとらうと	なぎさ	とらうと	NijiJP		
七瀬すず菜	七瀬	すず菜	ななせすずな	ななせ	すずな	NijiJP		
奈羅花		奈羅花	ならか		ならか	NijiJP		
成瀬鳴	成瀬	鳴	なるせなる	なるせ	なる	NijiJP		
鳴門こがね	鳴門	こがね	なるとこがね	なると	こがね	NijiJP		
西園チグサ	西園	チグサ	にしぞのちぐざ	にしぞの	ちぐさ	NijiJP		
ニュイ・ソシエール	ソシエール	ニュイ	にゅいそしえーる	そしえーる	にゅい	NijiJP		
猫屋敷美紅	猫屋敷	美紅	ねこやしきみく	ねこやしき	みく	NijiJP		
葉加瀬冬雪	葉加瀬	冬雪	はかせふゆき	はかせ	ふゆき	NijiJP		
八朔ゆず	八朔	ゆず	はっさくゆず	はっさく	ゆず	NijiJP		
花籠つばさ	花籠	つばさ	はなかごつばさ	はなかご	つばさ	NijiJP		
花畑チャイカ	花畑	チャイカ	はなばたけちゃいか	はなばたけ	ちゃいか	NijiJP		
早瀬走	早瀬	走	はやせそう	はやせ	そう	NijiJP		
葉山舞鈴	葉山	舞鈴	はやままりん	はやま	まりん	NijiJP		
春崎エアル	春崎	エアル	はるさきえある	はるさき	えある	NijiJP		
樋口楓	樋口	楓	ひぐちかえで	ひぐち	かえで	NijiJP	でろーん	
一橋綾人	一橋	綾人	ひとつばしあやと	ひとつばし	あやと	NijiJP		
緋八マナ	緋八	マナ	ひばちまな	ひばち	まな	NijiJP		
壱百満天原サロメ	壱百満天原	サロメ	ひゃくまんてんばらさろめ	ひゃくまんてんばら	さろめ	NijiJP		
風楽奏斗	風楽	奏斗	ふうらかなと	ふうら	かなと	NijiJP		
伏見ガク	伏見	ガク	ふしみがく	ふしみ	がく	NijiJP		
フミ		フミ	ふみ		ふみ	NijiJP		
文野環	文野	環	ふみのたまき	ふみの	たまき	NijiJP	野良猫	
ぷりん・らら・もーど		ぷりん・らら・もーど	ぷりんららもーど		ぷりんららもーど	NijiJP		
フレン・E・ルスタリオ	ルスタリオ	フレン	ふれんいーるすたりお	るすたりお	ふれん	NijiJP		
不破湊	不破	湊	ふわみなと	ふわ	みなと	NijiJP		
ベルモンド・バンデラス	バンデラス	ベルモンド	べるもんどばんでらす	ばんでらす	べるもんど	NijiJP		
星川サラ	星川	サラ	ほしかわさら	ほしかわ	さら	NijiJP		
星導ショウ	星導	ショウ	ほしるべしょう	ほしるべ	しょう	NijiJP		
ぽめろ・ぱんち		ぽめろ・ぱんち	ぽめろぱんち		ぽめろぱんち	NijiJP		
先斗寧	先斗	寧	ぽんとねい	ぽんと	ねい	NijiJP		
本間ひまわり	本間	ひまわり	ほんまひまわり	ほんま	ひまわり	NijiJP		
舞元啓介	舞元	啓介	まいもとけいすけ	まいもと	けいすけ	NijiJP		
魔界ノりりむ	魔界ノ	りりむ	まかいのりりむ	まかいの	りりむ	NijiJP		
ましろ爻	ましろ	爻	ましろめめ	ましろ	めめ	NijiJP		
町田ちま	町田	ちま	まちたちま	まちた	ちま	NijiJP	化け物	
魔使マオ	魔使	マオ	まつかいまお	まつかい	まお	NijiJP		
黛灰	黛	灰	まゆずみかい	まゆずみ	かい	NijiJP		
御子神琴音	御子神	琴音	みこがみことね	みこがみ	ことね	NijiJP		
水面まどか	水面	まどか	みなもまどか	みなも	まどか	NijiJP		
ミラン・ケストレル	ケストレル	ミラン	みらんけすとれる	けすとれる	みらん	NijiJP		
叢雲カゲツ	叢雲	カゲツ	むらくもかげつ	むらくも	かげつ	NijiJP		
メリッサ・キンレンカ	キンレンカ	メリッサ	めりっさきんれんか	きんれんか	めりっさ	NijiJP		
モイラ		モイラ	もいら		もいら	NijiJP		
物述有栖	物述	有栖	もののべありす	もののべ	ありす	NijiJP		
森中花咲	森中	花咲	もりなかかざき	もりなか	かざき	NijiJP		
夜牛詩乃	夜牛	詩乃	やぎゅうしの	やぎゅう	しの	NijiJP		
矢車りね	矢車	りね	やぐるまりね	やぐるま	りね	NijiJP		
社築	社	築	やしろきずく	やしろ	きずく	NijiJP		
山神カルタ	山神	カルタ	やまがみかるた	やまがみ	かるた	NijiJP		
闇夜乃モルル	闇夜乃	モルル	やみよのもるる	よみよの	もるる	NijiJP		
勇気ちひろ	勇気	ちひろ	ゆうきちひろ	ゆうき	ちひろ	NijiJP		
夕陽リリ	夕陽	リリ	ゆうひりり	ゆうひ	りり	NijiJP		
雪城眞尋	雪城	眞尋	ゆきしろまひろ	ゆきしろ	まひろ	NijiJP		
夢月ロア	夢月	ロア	ゆづきろあ	ゆづき	ろあ	NijiJP		
夢追翔	夢追	翔	ゆめおいかける	ゆめおい	かける	NijiJP		
夜見れな	夜見	れな	よるみれな	よるみ	れな	NijiJP		
ラトナ・プティ	プティ	ラトナ	らとなぷてぃ	ぷてぃ	らとな	NijiJP		
リゼ・ヘルエスタ	ヘルエスタ	リゼ	りぜへるえすた	へるえすた	りぜ	NijiJP		
緑仙		緑仙	りゅーしぇん		りゅーしぇん	NijiJP		
竜胆尊	竜胆	尊	りんどうみこと	りんどう	みこと	NijiJP		
ルイス・キャミー	キャミー	ルイス	るいすきゃみー	きゃみー	るいす	NijiJP		
ルンルン		ルンルン	るんるん		るんるん	NijiJP		
Rei7		Rei7	れいな		れいな	NijiJP		
レイン・パターソン	パターソン	レイン	れいんぱたーそん	ぱたーそん	れいん	NijiJP		
レヴィ・エリファ	エリファ	レヴィ	れゔぃえりふぁ	えりふぁ	れゔぃ	NijiJP		
レオス・ヴィンセント	ヴィンセント	レオス	れおすゔぃんせんと	ゔぃんせんと	れおす	NijiJP		
レヨン		レヨン	れよん		れよん	NijiJP		
ローレン・イロアス	イロアス	ローレン	ろーれんいろあす	いろあす	ろーれん	NijiJP		
渡会雲雀	渡会	雲雀	わたらいひばり	わたらい	ひばり	NijiJP		
童田明治	童田	明治	わらべだめいじー	わらべだ	めいじー	NijiJP		
しぐれうい	しぐれ	うい	しぐれうい	しぐれ	うい	個人勢	6さい	
天開司	天開	司	てんかいつかさ	てんかい	つかさ	個人勢		
ふぇありす		ふぇありす	ふぇありす		ふぇありす	個人勢		
