名前（フル）	姓	名	名前読み（フル）	姓読み	名読み	属性	メモ	備考
灯野ぺけ。	灯野	ぺけ。	ひのぺけ	ひの	ぺけ	Jigパレ		
藤森ちとせ	藤森	ちとせ	ふじのもりちとせ	ふじのもり	ちとせ	Jigパレ		
冬星れんこん	冬星	れんこん	ふゆぼしれんこん	ふゆぼし	れんこん	Jigパレ		
フローレ・ブランカ	ブランカ	フローレ	ふろーれぶらんか	ぶらんか	ふろーれ	Jigパレ		
牡丹雪	牡丹	雪	ぼたんせつ	ぼたん	せつ	Jigパレ		
水凪るぅ	水凪	るぅ	みなぎるぅ	みなぎ	るぅ	Jigパレ		
水無瀬天	水無瀬	天	みなせあめ	みなせ	あめ	Jigパレ		
巳野みこと	巳野	みこと	みのみこと	みの	みこと	Jigパレ		
無月いお	無月	いお	むつきいお	むつき	いお	Jigパレ		
夜雨ねむる	夜雨	ねむる	やうねむる	やう	ねむる	Jigパレ		
山田スバル	山田	スバル	やまだすばる	やまだ	すばる	Jigパレ		
夕凪万夜	夕凪	万夜	ゆうなぎまよ	ゆうなぎ	まよ	Jigパレ		
雪紫誉	雪紫	誉	ゆきむらほまれ	ゆきむら	ほまれ	Jigパレ		
夢ト見りんね	夢ト見	りんね	ゆめとみりんね	ゆめとみ	りんね	Jigパレ		
宵坂伊織	宵坂	伊織	よいざかいおり	よいざか	いおり	Jigパレ		
四葉みっけ	四葉	みっけ	よつばみっけ	よつば	みっけ	Jigパレ		
夜凪カレン	夜凪	カレン	よなぎかれん	よなぎ	かれん	Jigパレ		
ローズ・ダマスクハート	ダマスクハート	ローズ	ろーずだますくはーと	だますくはーと	ろーず	Jigパレ		
鈴木ヒナ	鈴木	ヒナ	すずきひな	すずき	ひな	LaRa		
田中ヒメ	田中	ヒメ	たなかひめ	たなか	ひめ	LaRa		
HIMEHINA		HIMEHINA	ひめひな		ひめひな	LaRa		
青桐エイト	青桐	エイト	あおぎりえいと	あおぎり	えいと	NeoPorte		
麻倉シノ	麻倉	シノ	あさくらしの	あさくら	しの	NeoPorte		
甘音あむ	甘音	あむ	あまねあむ	あまね	あむ	NeoPorte		
或世イヌ	或世	イヌ	あるせいぬ	あるせ	いぬ	NeoPorte		
絲依とい	絲依	とい	いといとい	いとい	とい	NeoPorte		
鱗水スイ	鱗水	スイ	うろこみすい	うろこみ	すい	NeoPorte		
鬼ヶ谷テン	鬼ヶ谷	テン	おにがやてん	おにがや	てん	NeoPorte		
幽乃うつろ	幽乃	うつろ	かすかのうつろ	かすかの	うつろ	NeoPorte		
久我レオ	久我	レオ	くがれお	くが	れお	NeoPorte		
心白てと	心白	てと	こはくてと	こはく	てと	NeoPorte		
昏昏アリア	昏昏	アリア	こんこんありあ	こんこん	ありあ	NeoPorte		
渋谷ハル	渋谷	ハル	しぶやはる	しぶや	はる	NeoPorte		
白雪レイド	白雪	レイド	しらゆきれいど	しらゆき	れいど	NeoPorte		
白那しずく	白那	しずく	しろなしずく	しろな	しずく	NeoPorte		
瀬尾カザリ	瀬尾	カザリ	せおかざり	せお	かざり	NeoPorte		
天帝フォルテ	天帝	フォルテ	てんていふぉるて	てんてい	ふぉるて	NeoPorte		
凪夢夛		凪夢夛	なゆた		なゆた	NeoPorte		
柊ツルギ	柊	ツルギ	ひいらぎつるぎ	ひいらぎ	つるぎ	NeoPorte		
日裏クロ	日裏	クロ	ひうらくろ	ひうら	くろ	NeoPorte		
緋月ゆい	緋月	ゆい	ひづきゆい	ひづき	ゆい	NeoPorte		
光葉エニ	光葉	エニ	みつばえに	みつば	えに	NeoPorte		
水無瀬		水無瀬	みなせ		みなせ	NeoPorte		
八神ツクモ	八神	ツクモ	やがみつくも	やがみ	つくも	NeoPorte		
夜絆ニウ	夜絆	ニウ	よづなにう	よづな	にう	NeoPorte		
Aia Amare	Amare	Aia	あいああまれ	あまれ	あいあ	NijiEN		
Ike Eveland	Eveland	Ike	あいくいーゔらんど	いーゔらんど	あいく	NijiEN		
Aster Arcadia	Arcadia	Aster	あすたーあるかでぃあ	あるかでぃあ	あすたー	NijiEN		
Yugo Asuma	Asuma	Yugo	あすまゆーご	あすま	ゆーご	NijiEN	遊間ユーゴ	
Alban Knox	Knox	Alban	あるばーんのっくす	のっくす	あるばーん	NijiEN		
Victoria Brightshield	Brightshield	Victoria	ゔぃくとりあぶらいとしーるど	ぶらいとしーるど	ゔぃくとりあ	NijiEN		
Ver Vermillion	Vermillion	Ver	ゔぇーるゔぁーみりおん	ゔぁーみりおん	ゔぇーる	NijiEN		
Vezalius Bandage	Bandage	Vezalius	ゔぇざりうすばんてーじ	ばんてーじ	ゔぇざりうす	NijiEN		
Vox Akuma	Akuma	Vox	ゔぉっくすあくま	あくま	ゔぉっくす	NijiEN		
Uki Violeta	Violeta	Uki	うきゔぃおれた	ゔぃおれた	うき	NijiEN	浮奇・ヴィオレタ	
Enna Alouette	Alouette	Enna	えなーあーるうぇっと	あーるうぇっと	えなー	NijiEN		
Elira Pendora	Pendora	Elira	えりーらぺんどら	ぺんどら	えりーら	NijiEN		
Reimu Endou	Endou	Reimu	えんどうれいむ	えんどう	れいむ	NijiEN	遠藤霊夢	
Kyo Kaneko	Kaneko	Kyo	かねこきょう	かねこ	きょう	NijiEN	金子鏡	
Meloco Kyoran	Meloco	Kyoran	きょうらんめろこ	きょうらん	めろこ	NijiEN	狂蘭メロコ	
Klara Charmwood	Charmwood	Klara	くららちゃーむうっど	ちゃーむうっど	くらら	NijiEN		
Claude Clawmark	Clawmark	Claude	くろーどくろーまーく	くろーまーく	くろーど	NijiEN		
Kaelix Debonair	Debonair	Kaelix	けいりくすでぼねあ	でぼねあ	けいりくす	NijiEN		
Nina Kosaka	Kosaka	Nina	こさかにな	こさか	にな	NijiEN	狐坂ニナ	
Sonny Brisko	Brisko	Sonny	さにーぶりすこー	ぶりすこー	さにー	NijiEN		
Zeal Ginjoka	Ginjoka	Zeal	じーるぎんじょうか	ぎんじょうか	じーる	NijiEN		
Scarle Yonaguni	Yonaguni	Scarle	すかーれよなぐに	よなぐに	すかーれ	NijiEN		
Seible 		Seible	せいぶる		せいぶる	NijiEN		
Selen Tatsuki	Tatsuki	Selen	せれんたつき	せれん	たつき	NijiEN	セレン龍月	
Twisty Amanozako	Amanozako	Twisty	とぅいすてぃーあまのざこ	あまのざこ	とぅいすてぃー	NijiEN		
Doppio Dropscythe	Dropscythe	Doppio	どっぴおどろっぷさいと	どろっぷさいと	どっぴお	NijiEN		
Kotoka Torahime	Torahime	Kotoka	とらひめことか	とらひめ	ことか	NijiEN	虎姫コトカ	
Kunai Nakasao	Nakasao	Kunai	なかさとくない	なかさと	くない	NijiEN	中里苦無	
Fulgur Ovid	Ovid	Fulgur	ふぁるがーおーゔぃど	おーゔぃど	ふぁるがー	NijiEN		
Finana Ryugu	Ryugu	Finana	ふぃなーなりゅうぐう	りゅうぐう	ふぃなーな	NijiEN	フィナーナ 竜宮	
Freodore 		Freodore	ふりおどーる		ふりおどーる	NijiEN		
Hex Haywire	Haywire	Hex	へっくすへいわいやー	へいわいやー	へっくす	NijiEN		
Petra Gurin	Gurin	Petra	ぺとらぐりん	ぐりん	ぺとら	NijiEN		
Vantacrow Bringer	Bringer	Vantacrow	ぺんたくろうぶりんがー	ぶりんがー	ぺんたくろう	NijiEN		
Pomu Rainpuff	Rainpuff	Pomu	ぽむれいんぱふ	れいんぱふ	ぽむ	NijiEN		
Maria Marionette	Marionette	Maria	まりあまりおねっと	まりおねっと	まりあ	NijiEN		
Mysta Rias	Rias	Mysta	みすたりあす	りあす	みすた	NijiEN		
Millie Parfait	Parfait	Millie	みりーぱふぇ	ぱふぇ	みりー	NijiEN		
Shu Yamino	Yamino	Shu	やみのしゅう	やみの	しゅう	NijiEN	闇乃シュウ	
Yu Q. Wilson	Wilson	Yu	ゆうきゅううぃるそん	うぃるそん	ゆう	NijiEN		
Zaion LanZa	LanZa	Zaion	らんざーざいおん	らんざー	ざいおん	NijiEN	ランザー罪恩	
Ryoma Barrenwort	Barrenwort	Ryoma	りょうまばれんうぉーと	ばれんうぉーと	りょうま	NijiEN	涼舞 バレンウォート	
Luca Kaneshiro	Kaneshiro	Luca	るかかねしろ	かねしろ	るか	NijiEN		
Ren Zotto	Zotto	Ren	れんぞっと	ぞっと	れん	NijiEN		
Rosemi Lovelock	Lovelock	Rosemi	ろぜみらぶろっく	らぶろっく	ろぜみ	NijiEN		
Azura Cecillia	Cecillia	Azura	あずらせしりあ	せしりあ	あずら	NijiID		
Amicia Michella	Michella	Amicia	あみしあみしぇら	みしぇら	あみしあ	NijiID		
Etna Crimson	Crimson	Etna	えとなくりむぞん	くりむぞん	えとな	NijiID		
Xia Ekavira	Ekavira	Xia	しあえかふぃら	えかふぃら	しあ	NijiID		
Siska Leontyne	Leontyne	Siska	しすかれおんたいん	れおんたいん	しすか	NijiID		
ZEA Cornelia	Cornelia	ZEA	ぜあこるねりあ	こるねりあ	ぜあ	NijiID		
Taka Radjiman	Radjiman	Taka	たからじまん	らじまん	たか	NijiID		
Derem Kado	Kado	Derem	でれむかど	かど	でれむ	NijiID		
Nagisa Arcinia	Arcinia	Nagisa	なぎさあるにしあ	あるにしあ	なぎさ	NijiID		
Nara Haramaung	Haramaung	Nara	ならはらまうん	はらまうん	なら	NijiID		
Hana Macchia	Macchia	Hana	はなまきあ	まきあ	はな	NijiID		
Hyona Elatiora	Elatiora	Hyona	ひょなえらてぃおら	えらてぃおら	ひょな	NijiID		
Bonnivier Pranaja	Pranaja	Bonnivier	ぼんにふぃえーるぷらなじゃ	ぷらなじゃ	ぼんにふぃえーる	NijiID		
Mika Melatika	Melatika	Mika	みかめらてぃか	めらてぃか	みか	NijiID		
Miyu Ottavia	Ottavia	Miyu	みゆおったふぃあ	おったふぃあ	みゆ	NijiID		
Rai Galilei	Galilei	Rai	らいがりれい	がりれい	らい	NijiID		
Layla Alstroemeria	Alstroemeria	Layla	らいらあるすとろえめりあ	あるすとろえめりあ	らいら	NijiID		
Riksa Dhirendra	Dhirendra	Riksa	りくさでぃれんどら	でぃれんどら	りくさ	NijiID		
Reza Avanluna	Avanluna	Reza	れざあふぁんるな	あふぁるんな	れざ	NijiID		
愛園愛美	愛園	愛美	あいぞのまなみ	あいぞの	まなみ	NijiJP		
相羽ういは	相羽	ういは	あいばういは	あいば	ういは	NijiJP		
赤城ウェン	赤城	ウェン	あかぎうぇん	あかぎ	うぇん	NijiJP		
赤羽葉子	赤羽	葉子	あかばねようこ	あかばね	ようこ	NijiJP		
アクシア・クローネ	クローネ	アクシア	あくしあくろーね	くろーね	あくしあ	NijiJP		
朝日南アカネ	朝日南	アカネ	あさひなあかね	あさひな	あかね	NijiJP		
飛鳥ひな	飛鳥	ひな	あすかひな	あすか	ひな	NijiJP		
遠北千南	遠北	千南	あちきたちなみ	あちきた	ちなみ	NijiJP		
安土桃	安土	桃	あづちもも	あづち	もも	NijiJP		
天ヶ瀬むゆ	天ヶ瀬	むゆ	あまがせむゆ	あまがせ	むゆ	NijiJP		
天宮こころ	天宮	こころ	あまみやこころ	あまみや	こころ	NijiJP		
雨森小夜	雨森	小夜	あまもりさよ	あまもり	さよ	NijiJP		
アルス・アルマル	アルマル	アルス	あるすあるまる	あるまる	あるす	NijiJP		
アンジュ・カトリーナ	カトリーナ	アンジュ	あんじゅかとりーな	かとりーな	あんじゅ	NijiJP		
家長むぎ	家長	むぎ	いえながむぎ	いえなが	むぎ	NijiJP		
五十嵐梨花	五十嵐	梨花	いがらしりか	いがらし	りか	NijiJP		
石神のぞみ	石神	のぞみ	いしがみのぞみ	いしがみ	のぞみ	NijiJP		
出雲霞	出雲	霞	いずもかすみ	いずも	かすみ	NijiJP		
五木左京	五木	左京	いつきさきょう	いつき	さきょう	NijiJP		
伊波ライ	伊波	ライ	いなみらい	いなみ	らい	NijiJP		
戌亥とこ	戌亥	とこ	いぬいとこ	いぬい	とこ	NijiJP		
イブラヒム		イブラヒム	いぶらひむ		いぶらひむ	NijiJP		
宇佐美リト	宇佐美	リト	うさみりと	うさみ	りと	NijiJP		
宇志海いちご	宇志海	いちご	うしみいちご	うしみ	いちご	NijiJP		
卯月コウ	卯月	コウ	うづきこう	うづき	こう	NijiJP		
海妹四葉	海妹	四葉	うみせよつは	うみせ	よつは	NijiJP		
海夜叉神		海夜叉神	うみやしゃのかみ		うみやしゃのかみ	NijiJP		
エクス・アルビオ	アルビオ	エクス	えくすあるびお	あるびお	えくす	NijiJP		
えま★おうがすと	おうがすと	えま★	えまおうがすと	おうがすと	えま	NijiJP		
エリー・コニファー	コニファー	エリー	えりーこにふぁー	こにふぁー	えりー	NijiJP		
御伽原江良	御伽原	江良	おとぎばらえら	おとぎばら	えら	NijiJP		
男虎		男虎	おのとら		おのとら	NijiJP		
小野町春香	小野町	春香	おのまちはるか	おのまち	はるか	NijiJP		
オリバー・エバンス	エバンス	オリバー	おりばーえばんす	えばんす	おりばー	NijiJP		
魁星		魁星	かいせい		かいせい	NijiJP		
甲斐田晴	甲斐田	晴	かいだはる	かいだ	はる	NijiJP		
加賀美ハヤト	加賀美	ハヤト	かがみはやと	かがみ	はやと	NijiJP		
語部紡	語部	紡	かたりべつむぐ	かたりべ	つむぐ	NijiJP		
蝸堂みかる	蝸堂	みかる	かどうみかる	かどう	みかる	NijiJP		
叶		叶	かなえ		かなえ	NijiJP		
鏑木ろこ	鏑木	ろこ	かぶらきろこ	かぶらき	ろこ	NijiJP		
神成ポアロ	神成	ポアロ	かみなりぽあろ	かみなり	ぽあろ	NijiJP		
神田笑一	神田	笑一	かんだしょういち	かんだ	しょういち	NijiJP		
綺沙良		綺沙良	きさら		きさら	NijiJP		
北小路ヒスイ	北小路	ヒスイ	きたこうじひすい	きたこうじ	ひすい	NijiJP		
北見遊征	北見	遊征	きたみゆうせい	きたみ	ゆうせい	NijiJP		
雲母たまこ	雲母	たまこ	きららたまこ	きらら	たまこ	NijiJP		
ギルザレンIII世		ギルザレンIII世	ぎるざれんさんせい		ぎるざれんさんせい	NijiJP		
金魚坂めいろ	金魚坂	めいろ	きんぎょざかめいろ	きんぎょざか	めいろ	NijiJP		
グウェル・オス・ガール	オス・ガール	グウェル	ぐうぇるおすがーる	おすがーる	ぐうぇる	NijiJP		
葛葉		葛葉	くずは		くずは	NijiJP		
久遠千歳	久遠	千歳	くどうちとせ	くどう	ちとせ	NijiJP		
倉持めると	倉持	めると	くらもちめると	くらもち	めると	NijiJP		
九里詠太	九里	詠太	くりえいた	くり	えいた	NijiJP		
来栖夏芽	来栖	夏芽	くるすなつめ	くるす	なつめ	NijiJP		
黒井しば	黒井	しば	くろいしば	くろい	しば	NijiJP		
黒羽黒兎	黒羽	黒兎	くろはねくろと	くろはね	くろと	NijiJP		
郡道美玲	郡道	美玲	ぐんどうみれい	ぐんどう	みれい	NijiJP		
弦月藤士郎	弦月	藤士郎	げんづきとうじろう	げんづき	とうじろう	NijiJP		
剣持刀也	剣持	刀也	けんもちとうや	けんもち	とうや	NijiJP	ロリコン	
小々波いるか	小々波	いるか	ここなみいるか	ここなみ	いるか	NijiJP		
小清水透	小清水	透	こしみずとおる	こしみず	とおる	NijiJP		
梢桃音	梢	桃音	こずえもね	こずえ	もね	NijiJP		
小柳ロウ	小柳	ロウ	こやなぎろう	こやなぎ	ろう	NijiJP		
佐伯イッテツ	佐伯	イッテツ	さいきいってつ	さいき	いってつ	NijiJP		
三枝明那	三枝	明那	さえぐさあきな	さえぐさ	あきな	NijiJP		
早乙女ベリー	早乙女	ベリー	さおとめべりー	さおとめ	べりー	NijiJP		
榊ネス	榊	ネス	さかきねす	さかき	ねす	NijiJP		
酒寄颯馬	酒寄	颯馬	さかよりそうま	さかより	そうま	NijiJP		
桜凛月	桜	凛月	さくらりつき	さくら	りつき	NijiJP		
笹木咲	笹木	咲	ささきさく	ささき	さく	NijiJP		
椎名唯華	椎名	唯華	しいなゆいか	しいな	ゆいか	NijiJP		
シェリン・バーガンディ	バーガンディ	シェリン	しぇりんばーがんでぃ	ばーがんでぃ	しぇりん	NijiJP		
栞葉るり	栞葉	るり	しおりはるり	しおりは	るり	NijiJP		
司賀りこ	司賀	りこ	しがりこ	しが	りこ	NijiJP		
四季凪アキラ	四季凪	アキラ	しきなぎあきら	しきなぎ	あきら	NijiJP		
獅子堂あかり	獅子堂	あかり	ししどうあかり	ししどう	あかり	NijiJP		
静凛	静	凛	しずかりん	しずか	りん	NijiJP	しずりん	
シスター・クレア	シスター	クレア	しすたーくれあ	しすたー	くれあ	NijiJP		
篠宮ゆの	篠宮	ゆの	しのみやゆの	しのみや	ゆの	NijiJP		
渋谷ハジメ	渋谷	ハジメ	しぶやはじめ	しぶや	はじめ	NijiJP		
ジョー・力一	ジョー	力一	じょーりきいち	じょー	りきいち	NijiJP		
白砂あやね	白砂	あやね	しらさあやね	しらさ	あやね	NijiJP		
白雪巴	白雪	巴	しらゆきともえ	しらゆき	ともえ	NijiJP		
城瀬いすみ	城瀬	いすみ	しろせいすみ	しろせ	いすみ	NijiJP		
真堂雷斗	真堂	雷斗	しんどうらいと	しんどう	らいと	NijiJP		
周央サンゴ	周央	サンゴ	すおうさんご	すおう	さんご	NijiJP	ンゴ	
健屋花那	健屋	花那	すこやかな	すこや	かな	NijiJP		
鈴鹿詩子	鈴鹿	詩子	すずかうたこ	すずか	うたこ	NijiJP		
鈴木勝	鈴木	勝	すずきまさる	すずき	まさる	NijiJP		
鈴原るる	鈴原	るる	すずはらるる	すずはら	るる	NijiJP	うっす	
鈴谷アキ	鈴谷	アキ	すずやあき	すずや	あき	NijiJP		
スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム・エル	スノー・ホワイト・パラダイス・エルサント・フロウ・ワスレナ・ピュア・プリンセス・リーブル・ラブ・ハイデルン・ドコドコ・ヤッタゼ・ヴァルキュリア・パッション・アールヴ・ノエル・チャコボシ・エルアリア・フロージア・メイドイン・ブルーム	エル	すのーほわいとぱらだいすえるさんとふろうわすれなぴゅあぷりんせすりーぶるらぶはいでるんどこどこやったぜゔぁるきゅりあぱっしょんあーるゔのえるちゃこぼしえるありあふろーじあめいどいんぶるーむえる	すのーほわいとぱらだいすえるさんとふろうわすれなぴゅあぷりんせすりーぶるらぶはいでるんどこどこやったぜゔぁるきゅりあぱっしょんあーるゔのえるちゃこぼしえるありあふろーじあめいどいんぶるーむ	える	NijiJP		
皇れお	皇	れお	すめらぎれお	すめらぎ	れお	NijiJP		
雪汝		雪汝	せつな		せつな	NijiJP		
瀬戸美夜子	瀬戸	美夜子	せとみやこ	せと	みやこ	NijiJP		
セラフ・ダズルガーデン	ダズルガーデン	セラフ	せらふだずるがーでん	だずるがーでん	せらふ	NijiJP		
千凛あゆむ	千凛	あゆむ	せんりあゆむ	せんり	あゆむ	NijiJP		
ソフィア・ヴァレンタイン	ヴァレンタイン	ソフィア	そふぃあゔぁれんたいん	ゔぁれんたいん	そふぃあ	NijiJP		
空星きらめ	空星	きらめ	そらほしきらめ	そらほし	きらめ	NijiJP		
鷹宮リオン	鷹宮	リオン	たかみやりおん	たかみや	りおん	NijiJP		
立伝都々	立伝	都々	たちつてとと	たちつて	とと	NijiJP		
珠乃井ナナ	珠乃井	ナナ	たまのいなな	たまのい	なな	NijiJP		
塚原大地	塚原	大地	つかはらだいち	つかはら	だいち	NijiJP		
月ノ美兎	月ノ	美兎	つきのみと	つきの	みと	NijiJP	委員長	
月見しずく	月見	しずく	つきみしずく	つきみ	しずく	NijiJP		
でびでび・でびる	でびる	でびでび	でびでびでびる	でびる	でびでび	NijiJP		
東堂コハク	東堂	コハク	とうどうこはく	とうどう	こはく	NijiJP		
ドーラ		ドーラ	どーら		どーら	NijiJP		
十河ののは	十河	ののは	とがわののは	とがわ	ののは	NijiJP		
轟京子	轟	京子	とどろききょうこ	とどろき	きょうこ	NijiJP		
名伽尾アズマ	名伽尾	アズマ	なかおあずま	なかお	あずま	NijiJP		
長尾景	長尾	景	ながおけい	ながお	けい	NijiJP		
渚トラウト	渚	トラウト	なぎさとらうと	なぎさ	とらうと	NijiJP		
七瀬すず菜	七瀬	すず菜	ななせすずな	ななせ	すずな	NijiJP		
奈羅花		奈羅花	ならか		ならか	NijiJP		
成瀬鳴	成瀬	鳴	なるせなる	なるせ	なる	NijiJP		
鳴門こがね	鳴門	こがね	なるとこがね	なると	こがね	NijiJP		
西園チグサ	西園	チグサ	にしぞのちぐざ	にしぞの	ちぐさ	NijiJP		
ニュイ・ソシエール	ソシエール	ニュイ	にゅいそしえーる	そしえーる	にゅい	NijiJP		
猫屋敷美紅	猫屋敷	美紅	ねこやしきみく	ねこやしき	みく	NijiJP		
葉加瀬冬雪	葉加瀬	冬雪	はかせふゆき	はかせ	ふゆき	NijiJP		
八朔ゆず	八朔	ゆず	はっさくゆず	はっさく	ゆず	NijiJP		
花籠つばさ	花籠	つばさ	はなかごつばさ	はなかご	つばさ	NijiJP		
花畑チャイカ	花畑	チャイカ	はなばたけちゃいか	はなばたけ	ちゃいか	NijiJP		
早瀬走	早瀬	走	はやせそう	はやせ	そう	NijiJP		
葉山舞鈴	葉山	舞鈴	はやままりん	はやま	まりん	NijiJP		
春崎エアル	春崎	エアル	はるさきえある	はるさき	えある	NijiJP		
樋口楓	樋口	楓	ひぐちかえで	ひぐち	かえで	NijiJP	でろーん	
一橋綾人	一橋	綾人	ひとつばしあやと	ひとつばし	あやと	NijiJP		
緋八マナ	緋八	マナ	ひばちまな	ひばち	まな	NijiJP		
壱百満天原サロメ	壱百満天原	サロメ	ひゃくまんてんばらさろめ	ひゃくまんてんばら	さろめ	NijiJP		
風楽奏斗	風楽	奏斗	ふうらかなと	ふうら	かなと	NijiJP		
伏見ガク	伏見	ガク	ふしみがく	ふしみ	がく	NijiJP		
フミ		フミ	ふみ		ふみ	NijiJP		
文野環	文野	環	ふみのたまき	ふみの	たまき	NijiJP	野良猫	
ぷりん・らら・もーど		ぷりん・らら・もーど	ぷりんららもーど		ぷりんららもーど	NijiJP		
フレン・E・ルスタリオ	ルスタリオ	フレン	ふれんいーるすたりお	るすたりお	ふれん	NijiJP		
不破湊	不破	湊	ふわみなと	ふわ	みなと	NijiJP		
ベルモンド・バンデラス	バンデラス	ベルモンド	べるもんどばんでらす	ばんでらす	べるもんど	NijiJP		
星川サラ	星川	サラ	ほしかわさら	ほしかわ	さら	NijiJP		
星導ショウ	星導	ショウ	ほしるべしょう	ほしるべ	しょう	NijiJP		
ぽめろ・ぱんち		ぽめろ・ぱんち	ぽめろぱんち		ぽめろぱんち	NijiJP		
先斗寧	先斗	寧	ぽんとねい	ぽんと	ねい	NijiJP		
本間ひまわり	本間	ひまわり	ほんまひまわり	ほんま	ひまわり	NijiJP		
舞元啓介	舞元	啓介	まいもとけいすけ	まいもと	けいすけ	NijiJP		
魔界ノりりむ	魔界ノ	りりむ	まかいのりりむ	まかいの	りりむ	NijiJP		
ましろ爻	ましろ	爻	ましろめめ	ましろ	めめ	NijiJP		
町田ちま	町田	ちま	まちたちま	まちた	ちま	NijiJP	化け物	
魔使マオ	魔使	マオ	まつかいまお	まつかい	まお	NijiJP		
黛灰	黛	灰	まゆずみかい	まゆずみ	かい	NijiJP		
御子神琴音	御子神	琴音	みこがみことね	みこがみ	ことね	NijiJP		
水面まどか	水面	まどか	みなもまどか	みなも	まどか	NijiJP		
ミラン・ケストレル	ケストレル	ミラン	みらんけすとれる	けすとれる	みらん	NijiJP		
叢雲カゲツ	叢雲	カゲツ	むらくもかげつ	むらくも	かげつ	NijiJP		
メリッサ・キンレンカ	キンレンカ	メリッサ	めりっさきんれんか	きんれんか	めりっさ	NijiJP		
モイラ		モイラ	もいら		もいら	NijiJP		
物述有栖	物述	有栖	もののべありす	もののべ	ありす	NijiJP		
森中花咲	森中	花咲	もりなかかざき	もりなか	かざき	NijiJP		
夜牛詩乃	夜牛	詩乃	やぎゅうしの	やぎゅう	しの	NijiJP		
矢車りね	矢車	りね	やぐるまりね	やぐるま	りね	NijiJP		
社築	社	築	やしろきずく	やしろ	きずく	NijiJP		
山神カルタ	山神	カルタ	やまがみかるた	やまがみ	かるた	NijiJP		
闇夜乃モルル	闇夜乃	モルル	やみよのもるる	よみよの	もるる	NijiJP		
勇気ちひろ	勇気	ちひろ	ゆうきちひろ	ゆうき	ちひろ	NijiJP		
夕陽リリ	夕陽	リリ	ゆうひりり	ゆうひ	りり	NijiJP		
雪城眞尋	雪城	眞尋	ゆきしろまひろ	ゆきしろ	まひろ	NijiJP		
夢月ロア	夢月	ロア	ゆづきろあ	ゆづき	ろあ	NijiJP		
夢追翔	夢追	翔	ゆめおいかける	ゆめおい	かける	NijiJP		
夜見れな	夜見	れな	よるみれな	よるみ	れな	NijiJP		
ラトナ・プティ	プティ	ラトナ	らとなぷてぃ	ぷてぃ	らとな	NijiJP		
リゼ・ヘルエスタ	ヘルエスタ	リゼ	りぜへるえすた	へるえすた	りぜ	NijiJP		
緑仙		緑仙	りゅーしぇん		りゅーしぇん	NijiJP		
竜胆尊	竜胆	尊	りんどうみこと	りんどう	みこと	NijiJP		
ルイス・キャミー	キャミー	ルイス	るいすきゃみー	きゃみー	るいす	NijiJP		
ルンルン		ルンルン	るんるん		るんるん	NijiJP		
Rei7		Rei7	れいな		れいな	NijiJP		
レイン・パターソン	パターソン	レイン	れいんぱたーそん	ぱたーそん	れいん	NijiJP		
レヴィ・エリファ	エリファ	レヴィ	れゔぃえりふぁ	えりふぁ	れゔぃ	NijiJP		
レオス・ヴィンセント	ヴィンセント	レオス	れおすゔぃんせんと	ゔぃんせんと	れおす	NijiJP		
レヨン		レヨン	れよん		れよん	NijiJP		
ローレン・イロアス	イロアス	ローレン	ろーれんいろあす	いろあす	ろーれん	NijiJP		
渡会雲雀	渡会	雲雀	わたらいひばり	わたらい	ひばり	NijiJP		
童田明治	童田	明治	わらべだめいじー	わらべだ	めいじー	NijiJP		
朝倉杏子	朝倉	杏子	あさくらあんこ	あさくら	あんこ	RiotMusic		
綾見ユラ	綾見	ユラ	あやみゆら	あやみ	ゆら	RiotMusic		
伊月知世	伊月	知世	いつきちせ	いつき	ちせ	RiotMusic		
楓原アサヒ	楓原	アサヒ	かえではらあさひ	かえではら	あさひ	RiotMusic		
傘屋くぐる	傘屋	くぐる	かさやくぐる	かさや	くぐる	RiotMusic		
埼凰リンネ	埼凰	リンネ	さいおうりんね	さいおう	りんね	RiotMusic		
山ン本のぶり	山ン本	のぶり	さんもとのぶり	さんもと	のぶり	RiotMusic		
愁子		愁子	しゅうこ		しゅうこ	RiotMusic		
朱名		朱名	しゅな		しゅな	RiotMusic		
白河しらせ	白河	しらせ	しらかわしらせ	しらかわ	しらせ	RiotMusic		
白波瀬ソル	白波瀬	ソル	しらはせそる	しらはせ	そる	RiotMusic		
皇美緒奈	皇	美緒奈	すめらぎみおな	すめらぎ	みおな	RiotMusic		
玉藻なすこ	玉藻	なすこ	たまもなすこ	たまも	なすこ	RiotMusic		
電信柱ちゃん		電信柱ちゃん	でんしんばしらちゃん		でんしんばしらちゃん	RiotMusic		
道明寺ここあ	道明寺	ここあ	どうみょうじここあ	どうみょうじ	ここあ	RiotMusic		
十神仁	十神	仁	とがみじん	とがみ	じん	RiotMusic		
時庭らんぜ	時庭	らんぜ	ときにわらんぜ	ときにわ	らんぜ	RiotMusic		
髑髏てにす	髑髏	てにす	どくろてにす	どくろ	てにす	RiotMusic		
那和ツムグ	那和	ツムグ	なわつむぐ	なわ	つむぐ	RiotMusic		
星宮ちょこ	星宮	ちょこ	ほしみやちょこ	ほしみや	ちょこ	RiotMusic		
